Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
AvaGV8FKLvDbzFcyuYuufAZ5hbZL6KB4jJfdxWSLAqnhAGtstGNhRH2AyXrQmRooTYRmEBtD14eQDBSXh8Dx7in,1763058577,2025-11-13T18:29:37.000Z,TRANSFER,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,50519885,out,7.3979,9,SOL,1.0
4GE1LCHciPfToda9kN8KiLCbjjkzTkTxX4bg73oAdYwqsobEgb4Ya2ET79wLhV2kpX3F87iQ6vra57KGHSmCuvzU,1759457653,2025-10-03T02:14:13.000Z,TRANSFER,9UT5He3tgSmFta9Awa9i4KFbnGATtjwW8k8CWjPCyek3,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,100000,in,0.02316,9,SOL,1.0
4GE1LCHciPfToda9kN8KiLCbjjkzTkTxX4bg73oAdYwqsobEgb4Ya2ET79wLhV2kpX3F87iQ6vra57KGHSmCuvzU,1759457653,2025-10-03T02:14:13.000Z,CLOSE ACCOUNT,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,7338133,out,1.6998,9,SOL,1.0
4GE1LCHciPfToda9kN8KiLCbjjkzTkTxX4bg73oAdYwqsobEgb4Ya2ET79wLhV2kpX3F87iQ6vra57KGHSmCuvzU,1759457653,2025-10-03T02:14:13.000Z,TRANSFER,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,5288853,in,1.2251,9,So11111111111111111111111111111111111111112,1.0
4GE1LCHciPfToda9kN8KiLCbjjkzTkTxX4bg73oAdYwqsobEgb4Ya2ET79wLhV2kpX3F87iQ6vra57KGHSmCuvzU,1759457653,2025-10-03T02:14:13.000Z,TRANSFER,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,3138447553277,out,1.2762,9,Eme5T2s2HB7B8W4YgLG1eReQpnadEVUnQBRjaKTdBAGS,1.0
4GE1LCHciPfToda9kN8KiLCbjjkzTkTxX4bg73oAdYwqsobEgb4Ya2ET79wLhV2kpX3F87iQ6vra57KGHSmCuvzU,1759457653,2025-10-03T02:14:13.000Z,CREATE ACCOUNT,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,Dd8ftfeE8FhRcuvXABcZjduaJsM6KHQSMUEsNzhE1tWX,2049280,out,0.4747,9,SOL,1.0
4jovoAP1Q45aUg1WWCbRS4i3bwynzZnkW1s13zipAtAt31ezxfQbNM9LRGp9vXgfm5NkzfjDRj1CG2TUFBLSJEW5,1759457653,2025-10-03T02:14:13.000Z,TRANSFER,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,9UT5He3tgSmFta9Awa9i4KFbnGATtjwW8k8CWjPCyek3,1010000,out,0.234,9,SOL,1.0
4Qo8MjB41peK8PqcXTkN9oxgRkUYLTnjx2j5tR87Uo4B2cXxHjTtUiJSoFrym8eVrLUHNfFYtEyqBp7EJMNV6W8o,1759457627,2025-10-03T02:13:47.000Z,TRANSFER,9TjDch79cGnLEuBjsckyoyqjZNQvuTwQfuvse7VE5UXe,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,3490000,in,0.8084,9,SOL,1.0
4Qo8MjB41peK8PqcXTkN9oxgRkUYLTnjx2j5tR87Uo4B2cXxHjTtUiJSoFrym8eVrLUHNfFYtEyqBp7EJMNV6W8o,1759457627,2025-10-03T02:13:47.000Z,CLOSE ACCOUNT,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,8857289,out,2.0517,9,SOL,1.0
4Qo8MjB41peK8PqcXTkN9oxgRkUYLTnjx2j5tR87Uo4B2cXxHjTtUiJSoFrym8eVrLUHNfFYtEyqBp7EJMNV6W8o,1759457627,2025-10-03T02:13:47.000Z,TRANSFER,HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,CaTWE2NPewVt1WLrQZeQGvUiMYexyV3YBaWhEDQ33kDh,6808009,in,1.577,9,So11111111111111111111111111111111111111112,1.0
