Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
2ozZTNqnStaiPVwBiCjT2ZxdsMpVauW4ewA5RCea5C4P6UD13dmTQveUhB3djjkHDwXDKHm638aQr3Ct48CUnC3o,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
4cQrvdPV91saH79geZMPdpteCXxVGS4ivSnLhPQ3bXmzMT3QXMFXGdQYw9Aq1RdYcKgtwrG1to5EkGyes9Z2eN1y,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2108880,out,0.1756,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
syermjFaFX3hrCp9ksUSbLAavgocUSunesSMJhGQco9KexZHKohTk37X8eZNcKAJtJ8mxDr487mvS1qWJRLzVUT,1774692397,2026-03-28T10:06:37.000Z,CLOSE ACCOUNT,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,Cx5qTEtnp3arFVBuusMXHafoRzLCLuigtz2AiQAFmq2Q,2074080,out,0.1727,9,SOL,1.0
