address,ath_mc,ath_token_symbol,ath_token_address,last_token_date,token_deployed,avg_tokens_per_day,avg_market_cap,median_market_cap,total_creator_fees,realized_pnl_usd,total_pnl_usd,winrate,launchpads_used
bwamJzztZsepfkteWRChggmXuiiCQvpLqPietdNfSXa,1.07375E+15,COPPERINU,61Wj56QgGyyB966T7YsMzEAKRLcMvJpDbPzjkrCZc4Bi,2026-03-22 1:25:20,8902,49,64188.7,2470.1,2109.74357,5503712.21,5503785.5,33.24,"Pump.fun, bonkers, jup_studio, letsbonk, pump_agent"
4dnWLzmdkLeuDe6hwRBpPqrDbQZ59hpoBu8JLztAescf,5431617.348,Sus,6Hi2PPiqkwYBY2vxbn1oasbTknvsWRZvNL3PjKZnpump,2026-01-13 19:53:41,7177,40,5886.2,3684.68,6.025081,889101.29,889029.55,29.77,"Moonshot, Pump.fun, bags, jup_studio, letsbonk, meteora_virtual_curve"
AxmFqz3pbhj6HDK9dC1u7LsYP3rbsTJyKkeCMSpAxrgU,8597973.963,TANAKI,5oY7mmN5yiBRF2Fq3c4fhftTEsPykHcA5X5G52tpump,2026-03-18 11:02:28,6140,34,2877,2484.11,1452.78419,150927.8,150927.8,11.56,Pump.fun
99UtKhdi1RfmMGRpi7kbWz6AQ2y4JkFmxC3swMVMDioZ,7437581.9,唢呐,C64cB3Ji5RgyeLz3YQmbYTzWRQ2w8X3jxW1B9V7MpxjC,2025-12-13 23:20:10,3790,21,4148.52,3932.07,687.85319,773097.85,772763.07,19.3,"Pump.fun, letsbonk"
moanTeQ4d1c1wtZYENytCm1yZDXwUcUYTnSNpjpB4jF,524757.0513,MASA,89XW4uFgDfhhZrxFVwDf8MTooGp6wLGUWEqovM4gW7YJ,2026-03-13 14:53:19,3435,19,3857.99,4059.28,201.124848,835836.53,835836.53,25.39,"Pump.fun, letsbonk"
Aqje5DsN4u2PHmQxGF9PKfpsDGwQRCBhWeLKHCFhSMXk,5328981.259,EVA,4gfNpwo8LQtcgGrNmgWhuwfFhttgZ8Qb6QXN4Yz8BAGS,2026-03-21 7:45:16,3339,19,3449.49,2504.17,7.070439,1351182.6,1351182.6,91.6,"Pump.fun, bags, letsbonk, pump_agent"
GpTXmkdvrTajqkzX1fBmC4BUjSboF9dHgfnqPqj8WAc4,3416367.9,ICM,HRwo5GY87abyVy5tzW3g1RtgjrnxUEtWfDL7ftpjpump,2026-03-16 9:31:17,3260,18,2791.79,2617.8,649.906023,2185689.35,2185689.35,90.13,"Pump.fun, bonkers, jup_studio"
5TaPtQ9DE1YMUfiyLv7CCNx1CEh88nWx3sPmNRz9zL75,2694734.465,SPICY,6MPXohgkQLLSiDQurtKzdsE9Ecmr5h9T4zDhJRmkpump,2025-12-05 13:37:32,2986,17,3982.78,3983.61,13.607812,1316537.88,1316537.88,41.74,Pump.fun
C4udGwTg6oqcrr8SmSLmkcXDbaFEcopsiaT21KUE4psU,37507184.65,America,9NTDE8Do6yPdGGmupijQDG2agZSRuvxc9qQJ14GWpump,2026-03-13 19:02:53,2814,16,2511.68,2493.59,2.488445,859469.31,859469.31,26.43,Pump.fun
HdKJM6Lvfp9aV9tvEMC8AD4GnsbFgMUkHLoK923Sn1ET,1038480.9,KISS,DRF1iHZMMc5wn9pmVv73ob6RWzDumxqMtdhExRJvpump,2026-03-11 22:05:09,2460,14,2434.46,2422.11,310.217902,1130736.12,1130736.12,95.26,Pump.fun
GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b,76125879.95,ALICE,HWrgYyGdivwuxV2ePxbk6vwkrKYqMa7is9fYMm5kcQWY,2026-03-22 4:27:49,2413,13,2384.87,2447.52,6.874444,2369244.46,2369244.46,74.66,"Pump.fun, pump_mayhem"
8i5U2uNBEuTc4zskYP14zbebDg2RSwrrG8REhEnJb97K,4252103.931,MEMELESS,3nSMUVeDed6G67RwLvBWxiYU2qEGVJXf2TD5MiTRpump,2026-03-22 1:30:13,2388,13,2623.6,2509.4,5151.982242,973166.38,973160.94,78.69,"Pump.fun, bonkers, letsbonk, pump_agent"
G7NvZKjoVqBDWciSYtWWgUPB7DA1iJavdvH5jty2FAmM,29489721.33,AMERICA,BYGijarB1F6SiAecCbvspbiS6BxAfM2NQ1w6ao5Efj8p,2026-03-22 0:10:34,2359,13,2611.68,2521.55,1.574832,633221.53,633244.65,28.16,"Pump.fun, letsbonk, pump_agent"
9sCcAxe56AuDQfJgU7kB1LpnQEYXDcGpAtXnN49H6SB3,99098837,CSC,GFLouK9pm9Eh3KMyJ2VTKAknKWqL3cP7ioRJLe99Q5TB,2025-11-29 2:02:19,2294,13,4334.94,4652.1,4.704281,1138726.14,1138726.14,17.61,"Pump.fun, letsbonk"
6nU2L7MQVUWjtdKHVpuZA9aind73nd3rXC4YFo8KQCy4,3988258.664,VVM,HWbNnWxMokZygvhKnYbDfZfRaokXHvF3uVHvnKSdBAGS,2026-03-21 7:28:23,2285,13,2746.04,2512.67,1.809578,376588.55,372815.16,19.33,"Pump.fun, bags, bonkers, pump_agent"
37uM1rp8TK7eVURVRnjtaxGkdJyXjgA9uz83DjApcHvq,5737698.6,BIG,FT6ZnLbmaQbUmxbpe69qwRgPi9tU8QGY8S7gqt4Wbonk,2026-03-21 23:54:43,2260,13,2839.56,2503.53,1.106066,260297.6,260297.6,32.56,"Pump.fun, letsbonk, pump_agent"
B9Zbs2W9VK22AHnCWiK4PqBueDFzN17RNAFu5uFozLMJ,24245952.72,AP,39zSVsSHFqNhARbVh6n8ZF78nCmhV3gSg8D39xhBNe73,2026-03-22 4:02:03,2227,12,4268.4,3179.25,114.956488,1839355.18,1839343.73,7.18,"Pump.fun, letsbonk"
8NJ7Ujpji8uMF2675mqaTSEm2DCbfJA7fiRKtiaqkaLN,610296.793,Skyline,7fkALJZ8mZj9YSFj7MGJkt1J6B8jhHn9d84F8euTpump,2026-03-22 6:06:30,2164,12,2654.87,2506.86,196.586878,598839.34,598839.34,50.28,"Pump.fun, bags, bonkers, letsbonk, pump_agent"
