Account,Token Account,Quantity,Percentage
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,Hqhs9UmqA4M6rbMBa8ttZK8NdL46Rd185ztEy6dXYkqm,84259288.49529003,8.43
D9ZGRMhmdMdf5dRdEiLSJLrSETsFuofSPDZHjx5tuULT,9WH4oeujdfiwTPZhpK4B79H1vYda8hiEcRjcHAfsGP2W,31971154.973968018,3.20
DLHnb1yt6DMx2q3qoU2i8coMtnzD5y99eJ4EjhdZgLVh,LZcXJY4TT6T4q63RRZjsWHHS7ByV5RL4rxMAxGmiUFE,28668823.524003334,2.87
8pyiqMctEzfUZvegKH5jHenHTBkQ5W37WSAitieYZz3m,2YCacLhz4a8e3TJuVf2S5Xy6ntNump5vs9YQrfTSz1Vc,24800000,2.48
HPVUJGJwJnpGBDCzoAPKPjHe8QfXLgRjbktXCRyMNi5w,2SknuYUo7N7crQcKvCAGQAPBj2xp5DEZg3vzpT4JR5Tp,22015172.74424797,2.20
J3V68JvjXFArRBb86NAX8mCoYgFce7MmZjs9ziz74RzT,CJ9arqPq9YSjQUCj3gvMTYLN8kNLMEBiH1zsLKKhdYF,22000000,2.20
E9bg6VCatYJGgrjADYbGdRF43HC3nqsFdqnQNk54oPpV,GFQhLjsKSXwfMtWyM2Xn3Xfq6qJVAtKcH4jU93DLDSTQ,20348068.072041772,2.03
7abBmGf4HNu3UXsanJc7WwAPW2PgkEb9hwrFKwCySvyL,4kFjDc28UyShPz6wcWsEHCPLD26DTwfZU2UUczWdB3Ma,20000000,2.00
8eVZa7bEBnd6MA6JJkNdABRN4S3LbVLRnCZNJAUeuwQj,CVyTE4qXUj7wbuvvwoEZ1JsducRdqaGMawZ8vx75TgM6,19700000,1.97
hHxyZi7ZxbYqQmBhTRtdwpjwpfhmWVypRfMVmn2HzPt,F4wBJnBAvE7Dv8qT2AtMvW4ZETBNRzcv5DFJBTuytVLE,19298335.68649322,1.93
Gn8DbGQZLM8dXUZkt8yFsr6KwCinsA4JhpjaPZnwZ5sR,FHUHeqPBC9d4VLhPehML8ozzLdnZ2BLrTnx6xkRi4oTF,18659100.228820212,1.87
84nmkUX8CAHYmn826E2wxfQhhiKQL1tRnhxAMexGFncD,72wsnjPqS3aeBpDrmpNC8pxCJkzKoCJ9eTRsntNVBqXT,14907209.964228848,1.49
86CUCgcqFVaYzgnThyA9ghwoaoyseXcJwJHdhWsZSMne,4tkwoFfNz5oQArJkpUmUWHh53hWJLgLQUUNhGy2kzwRn,14566361.251847455,1.46
jDViTCWttqEQn8X52q2MDNRkXZ9XoVtW6judD4XarZc,GsQeQwvHxcekPM3rS1tkTGXnqWyWo7NQfCc6sFNJp8Wt,14500000,1.45
9ZtJuuQcM8JYD2A6JKJ6fZBx8JFbeBuAdQq2vv9fwfjy,DBC5t4wvHAVSwcWgzp5vQEeEsk2cmcL2ZP51oi2xmCP6,13742497.654454943,1.37
HvaTTY5h4mC76inmNc9N8KsYwEgaqyXJ91qd2yh8GnPH,FHjFFLo4ptuZFNHJwLrZ2LsAPiYTxCmpp9rdpqTbX74F,13000000,1.30
BCfYeQUf8zgF5cvfK3bm7i4xxp5U9ErEFsQp3meesdsF,XQcZRJW3ZDUNxzNM5n3Dta32t9z8FwwC7jHkuwMXXXA,12660497.352424072,1.27
GpuFEkjdiaNH5vt6qPpQupFdfU2JcnZBVbLToh9zjAq7,9AiubmiXz4NLYgDkctggJo5JudEtRiSu6ja5AfEfCGQt,12488779.438605048,1.25
8ffuKmUZZjBJZvEgvYvBXdoewKVYEYW1LxqSfLHCmDRe,Bf4MM8DpVV4wDhfErrfbufMptrHbp4Fwo9eVUnkjMwSW,12149826.103901057,1.22
CyhJT3o8xrW5vvenMkrJDdpYcdboGGg6SQvSoeVtcA35,HSH9NazdrCYB3JM8v1prKvQdNuXUxrJ2zRWGMry49K9n,12107745.835142575,1.21
3be81bNMaqNbQeD8Lp1aTRdQWigx3fSbXv9VNwWkFYNU,7cjfbW9S7Jy6SUKEsXFwa7zejyStqr6MVdUoWcDqqqB9,12059482.009304924,1.21
997vQdnJrNspvJPU8rvFtbkRuoJgFrKeN3zxcAnwn2s8,6pPT3dcmkWNfmfq1Ai3WXKrZDQxpqjBG9bJcoafeEfUo,11994812.641685763,1.20
44K8GNKraJi5SkPWrhXSsRKnHwMLKwrXTnpQpPxVt1Vp,CFoyiTHWq2WANc3MewRX188GUtvKr67SukPzepchvS2t,11600000,1.16
FvzsBG3G89FTfCEwaPovH5Qy8tUSnMNAswz2nfgBrisJ,AGzxztxgjkst8w1X5jPvq5hGfnokVN2kYDXygRY7GG6G,11030500.122468654,1.10
69DNYgQLUBavWr7hmrHUBZoAVaZgnFQgxHVKtsULuf8A,Dv9EnRBcYBcdirnTiaPyuPeAfVZZiNvkmfEznnGugZ8k,11000000,1.10
DM3rTYq3Jvid5Jkb9ypDgpXPAEY7SvGpXos92ayPiADW,31Rtmzn5fa9Yvs8NsFUEpYMfPZb8AAcPTwwBJapPgbko,10803293.562232371,1.08
DYWy9SwnUiU9ky4Q8KFyYAQB5fTd7x9qPYwzrSajxsfJ,7jp9mZrnfhQxwfhbB1W399zem93TJr11E7WvBjgbe1MY,10579746.400086947,1.06
